symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,volume,avgVolume,exchange,open,previousClose,eps,pe,earningsAnnouncement,sharesOutstanding,timestamp,dcf
MSFT,Microsoft Corporation,197.59,-0.13,-0.25,195.48,199.03,203.95,130.78,1498411827200.0,187.24142,170.22386,16863608,41147387,NASDAQ,197.8,197.84,6.002,32.920692,2020-04-29T20:06:26.000+0000,7583439583,1593110666,199.06472333290338
DOCU,"DocuSign, Inc.",167.87,2.42,3.96,161.63,169.72,172.21,43.13,30805653504.0,139.81857,97.91752,2470069,4384696,NASDAQ,165.0,163.91,-1.173,,2020-06-04T20:05:05.000+0000,183508986,1593110666,169.17501154473018
GOOG,Alphabet Inc.,1430.0001,-0.14,-1.9699,1420.0,1438.49,1532.106,1013.536,976399761408.0,1414.1998,1351.3043,845377,1931434,NASDAQ,1429.9,1431.97,49.572,28.846933,,682796988,1593110666,1482.8492070729726
CRM,"salesforce.com, inc.",186.83,0.69,1.28,184.44,187.8662,195.72,115.29,168333836288.0,177.082,168.52313,2565873,7092332,NYSE,186.14,185.55,-0.194,,2020-05-28T20:05:04.000+0000,901000034,1593110666,191.7064705882353
UBER,"Uber Technologies, Inc.",30.26,-0.66,-0.2,29.57,30.5697,47.08,13.71,52470538240.0,33.701714,31.791533,14600714,31404459,NYSE,30.0,30.46,-6.66,,2020-05-08T00:00:00.000+0000,1733990028,1593110666,38.96987613279257
ZM,"Zoom Video Communications, Inc.",258.275,0.93,2.375,252.675,260.29,260.29,60.968,72860155904.0,197.75485,127.68022,6217394,13693893,NASDAQ,258.23,255.9,0.169,1528.2544,2020-06-02T20:05:10.000+0000,282103014,1593110666,259.423394460092
COST,Costco Wholesale Corporation,299.055,0.35,1.035,295.4,299.7341,325.26,261.67,132039958528.0,304.09772,302.84702,1384675,3343660,NASDAQ,297.06,298.02,8.359,35.776405,2020-09-24T20:15:00.000+0000,441523996,1593110666,318.02879800778015
NFLX,"Netflix, Inc.",462.63,1.04,4.78,454.0,466.68,474.01,252.28,203466522624.0,435.5343,379.65344,2819661,7803790,NASDAQ,458.86,457.85,4.941,93.630844,2020-07-17T03:00:00.000+0000,439803996,1593110666,473.7585121689374
BABA,Alibaba Group Holding Limited,221.7,-2.0,-4.52,220.88,224.66,231.14,151.85,600818057216.0,212.33571,208.30753,11441956,18573440,NYSE,224.59,226.22,3.497,63.397198,2020-05-22T11:09:00.000+0000,2710049875,1593110666,231.54222762205313
AMD,"Advanced Micro Devices, Inc.",51.34,-2.0,-1.05,50.54,52.7,59.27,27.43,60128894976.0,53.922573,49.737663,40674081,66673404,NASDAQ,52.56,52.39,0.426,120.51643,2020-04-28T20:25:10.000+0000,1171190007,1593110666,52.64892857142858
INTC,Intel Corporation,57.66,-2.42,-1.43,57.48,59.09,69.29,43.63,244132429824.0,60.924,59.368687,12981569,26207803,NASDAQ,58.98,59.09,5.158,11.178751,2020-04-24T00:00:00.000+0000,4233999824,1593110666,58.597625754527165
DIS,The Walt Disney Company,109.89,-1.95,-2.18,108.5,111.49,153.41,79.07,198490996736.0,115.7,121.821754,12530743,19085576,NYSE,108.99,112.07,2.969,37.01246,2020-05-05T20:05:01.000+0000,1806269877,1593110666,113.14210084033614
JPM,JPMorgan Chase & Co.,97.135,2.61,2.475,94.2622,97.89,141.1,76.91,295972306944.0,96.816,111.89358,17960024,25055525,NYSE,94.35,94.66,8.898,10.916498,2020-07-14T16:30:00.000+0000,3047020198,1593110666,103.85367261020308
