symbol,name,price,exchange
SPY,SPDR S&P 500,303.61,NYSE Arca
CMCSA,Comcast Corporation Class A Common Stock,38.295,Nasdaq Global Select
KMI,Kinder Morgan Inc.,14.73,New York Stock Exchange
INTC,Intel Corporation,57.64,Nasdaq Global Select
MU,Micron Technology Inc.,48.14,Nasdaq Global Select
GDX,VanEck Vectors Gold Miners,34.41,NYSE Arca
GE,General Electric Company,6.535,New York Stock Exchange
BAC,Bank of America Corporation,24.285,New York Stock Exchange
EEM,iShares MSCI Emerging Index Fund,40.105,NYSE Arca
XLF,SPDR Select Sector Fund - Financial,23.33,NYSE Arca
AAPL,Apple Inc.,360.11,Nasdaq Global Select
MSFT,Microsoft Corporation,197.53,Nasdaq Global Select
SIRI,Sirius XM Holdings Inc.,5.775,Nasdaq Global Select
HPQ,HP Inc.,16.055,New York Stock Exchange
CX,Cemex S.A.B. de C.V. Sponsored ADR,2.81,New York Stock Exchange
EFA,iShares MSCI EAFE,60.85,NYSE Arca
CZR,Caesars Entertainment Corporation,11.785,Nasdaq Global Select
QQQ,PowerShares QQQ Trust Series 1,243.423,NASDAQ Global Market
F,Ford Motor Company,5.9368,New York Stock Exchange
AMD,Advanced Micro Devices Inc.,51.25,NASDAQ Capital Market
SNAP,Snap Inc. Class A,23.928,New York Stock Exchange
FB,Facebook Inc.,234.81,Nasdaq Global Select
WFC,Wells Fargo & Company,26.98,New York Stock Exchange
AIG,American International Group Inc.,30.78,New York Stock Exchange
T,AT&T Inc.,29.51,New York Stock Exchange
C,Citigroup Inc.,51.85,New York Stock Exchange
VALE,VALE S.A. American Depositary Shares Each Representing one,10.36,New York Stock Exchange
MS,Morgan Stanley,48.105,New York Stock Exchange
AKS,AK Steel Holding Corporation,1.55,New York Stock Exchange
JPM,JP Morgan Chase & Co.,96.95,New York Stock Exchange
ORCL,Oracle Corporation,53.99,New York Stock Exchange
NKE,Nike Inc.,99.91,New York Stock Exchange
VWO,Vanguard FTSE Emerging Markets,39.75,NYSE Arca
PG,Procter & Gamble Company (The),116.565,New York Stock Exchange
FXI,iShares China Large-Cap,40.28,NYSE Arca
IWM,iShares Russell 2000,137.985,NYSE Arca
GSM,Ferroglobe PLC,0.5049,Nasdaq Global Select
HK,Halcon Resources Corporation,0.19,New York Stock Exchange
BBD,Banco Bradesco Sa American Depositary Shares,3.89,New York Stock Exchange
PFE,Pfizer Inc.,31.9679,New York Stock Exchange
JD,JD.com Inc.,60.24,Nasdaq Global Select
NOK,Nokia Corporation Sponsored American Depositary Shares,4.4,New York Stock Exchange
TWTR,Twitter Inc.,30.927,New York Stock Exchange
AMLP,Alerian MLP,25.11,NYSE Arca
AVGO,Broadcom Limited,304.21,Nasdaq Global Select
AMAT,Applied Materials Inc.,59.22,Nasdaq Global Select
WFT,Weatherford International plc (Ireland),0.36,New York Stock Exchange
UVXY,ProShares Trust Ultra VIX Short Term Futures,36.87,NYSE Arca
DWDP,DowDuPont Inc.,30.51,New York Stock Exchange
VXX,iPath S&P 500 VIX Short Term Futures TM ETN,36.53,NYSE Arca
VEA,Vanguard FTSE Developed Markets,38.69,NYSE Arca
ZNGA,Zynga Inc.,9.53,Nasdaq Global Select
XOM,Exxon Mobil Corporation,44.47,New York Stock Exchange
QCOM,QUALCOMM Incorporated,87.79,Nasdaq Global Select
TVIX,VelocityShares Daily 2x VIX Short Term ETN,146.28,NASDAQ Global Market
VIPS,Vipshop Holdings Limited American Depositary Shares each representing two,19.63,New York Stock Exchange
GLD,SPDR Gold Trust,165.59,NYSE Arca
CSCO,Cisco Systems Inc.,44.55,Nasdaq Global Select
AXP,American Express Company,96.5,New York Stock Exchange
BMY,Bristol-Myers Squibb Company,57.735,New York Stock Exchange
V,Visa Inc.,191.77,New York Stock Exchange
USO,United States Oil Fund,27.745,NYSE Arca
GRPN,Groupon Inc.,19.885,Nasdaq Global Select
WP,Worldpay Inc. Class A,124.37,New York Stock Exchange
OIH,VanEck Vectors Oil Services,120.28,NYSE Arca
GERN,Geron Corporation,1.93,Nasdaq Global Select
KEY,KeyCorp,12.7,New York Stock Exchange
RF,Regions Financial Corporation,11.48,New York Stock Exchange
KR,Kroger Company (The),32.9986,New York Stock Exchange
HAL,Halliburton Company,12.13,New York Stock Exchange
BABA,Alibaba Group Holding Limited,221.37,New York Stock Exchange
MRO,Marathon Oil Corporation,5.805,New York Stock Exchange
CLNS,Colony NorthStar Inc.,6.41,New York Stock Exchange
GILD,Gilead Sciences Inc.,74.41,Nasdaq Global Select
IEMG,iShares Core MSCI Emerging Markets,47.78,NYSE Arca
GM,General Motors Company,24.925,New York Stock Exchange
FCX,Freeport-McMoRan Inc.,10.89,New York Stock Exchange
CRM,Salesforce.com Inc,186.71,New York Stock Exchange
ATVI,Activision Blizzard Inc,75.495,Nasdaq Global Select
SQ,Square Inc. Class A,103.13,New York Stock Exchange
P,Pandora Media Inc.,8.4,New York Stock Exchange
XLK,SPDR Select Sector Fund - Technology,102.12,NYSE Arca
TWX,Time Warner Inc.,98.91,New York Stock Exchange
NUE,Nucor Corporation,40.66,New York Stock Exchange
XOP,SPDR S&P Oil & Gas Explor & Product,51.16,NYSE Arca
SWN,Southwestern Energy Company,2.465,New York Stock Exchange
LOW,Lowe's Companies Inc.,130.235,New York Stock Exchange
RAD,Rite Aid Corporation,16.1087,New York Stock Exchange
VEON,VEON Ltd.,1.745,Nasdaq Global Select
HYG,iShares iBoxx $ High Yield Corporate Bond,81.935,NYSE Arca
APC,Anadarko Petroleum Corporation,69.92,New York Stock Exchange
JNK,SPDR Bloomberg Barclays High Yield Bond,101.71,NYSE Arca
EWJ,iShares MSCI Japan Index Fund,55.59,NYSE Arca
XLU,SPDR Select Sector Fund - Utilities,55.34,NYSE Arca
ESV,Ensco plc Class A,7.38,New York Stock Exchange
SLB,Schlumberger N.V.,18.08,New York Stock Exchange
FLEX,Flex Ltd.,10.21,Nasdaq Global Select
FOXA,Twenty-First Century Fox Inc.,26.62,Nasdaq Global Select
ABBV,AbbVie Inc.,95.74,New York Stock Exchange
GIS,General Mills Inc.,60.16,New York Stock Exchange
VZ,Verizon Communications Inc.,54.01,New York Stock Exchange
XRX,Xerox Corporation,15.2813,New York Stock Exchange
